Line Number:0,Thread ID:0,Time:06:47:47.864
Line Number:1,Thread ID:2,Time:06:47:47.887
Line Number:2,Thread ID:4,Time:06:47:47.889
Line Number:3,Thread ID:4,Time:06:47:47.934
Line Number:4,Thread ID:2,Time:06:47:47.887
Line Number:5,Thread ID:6,Time:06:47:47.895
Line Number:6,Thread ID:5,Time:06:47:47.893
Line Number:7,Thread ID:10,Time:06:47:47.924
Line Number:8,Thread ID:10,Time:06:47:47.924
Line Number:9,Thread ID:10,Time:06:47:47.924
Line Number:10,Thread ID:10,Time:06:47:47.925
Line Number:11,Thread ID:2,Time:06:47:47.929
Line Number:12,Thread ID:4,Time:06:47:47.891
Line Number:13,Thread ID:4,Time:06:47:47.939
Line Number:14,Thread ID:2,Time:06:47:47.944
Line Number:15,Thread ID:6,Time:06:47:47.950
Line Number:16,Thread ID:5,Time:06:47:47.958
Line Number:17,Thread ID:10,Time:06:47:47.965
Line Number:18,Thread ID:10,Time:06:47:47.980
Line Number:19,Thread ID:10,Time:06:47:47.986
Line Number:20,Thread ID:10,Time:06:47:47.991
Line Number:21,Thread ID:2,Time:06:47:47.997
Line Number:22,Thread ID:4,Time:06:47:48.002
Line Number:23,Thread ID:4,Time:06:47:48.006
Line Number:24,Thread ID:2,Time:06:47:48.010
Line Number:25,Thread ID:6,Time:06:47:48.014
Line Number:26,Thread ID:5,Time:06:47:48.021
Line Number:27,Thread ID:10,Time:06:47:48.026
Line Number:28,Thread ID:10,Time:06:47:48.033
Line Number:29,Thread ID:10,Time:06:47:48.038
Line Number:30,Thread ID:10,Time:06:47:48.043
Line Number:31,Thread ID:2,Time:06:47:48.049
Line Number:32,Thread ID:4,Time:06:47:48.055
Line Number:33,Thread ID:4,Time:06:47:48.060
Line Number:34,Thread ID:2,Time:06:47:48.067
Line Number:35,Thread ID:6,Time:06:47:48.075
Line Number:36,Thread ID:5,Time:06:47:48.082
Line Number:37,Thread ID:10,Time:06:47:48.088
Line Number:38,Thread ID:10,Time:06:47:48.096
Line Number:39,Thread ID:10,Time:06:47:48.102
Line Number:40,Thread ID:10,Time:06:47:48.109
Line Number:41,Thread ID:2,Time:06:47:48.118
Line Number:42,Thread ID:4,Time:06:47:48.125
Line Number:43,Thread ID:4,Time:06:47:48.132
Line Number:44,Thread ID:2,Time:06:47:48.137
Line Number:45,Thread ID:6,Time:06:47:48.145
Line Number:46,Thread ID:5,Time:06:47:48.152
Line Number:47,Thread ID:10,Time:06:47:48.160
Line Number:48,Thread ID:10,Time:06:47:48.169
Line Number:49,Thread ID:10,Time:06:47:48.176
Line Number:50,Thread ID:10,Time:06:47:48.185
Line Number:51,Thread ID:2,Time:06:47:48.192
Line Number:52,Thread ID:4,Time:06:47:48.199
Line Number:53,Thread ID:4,Time:06:47:48.207
Line Number:54,Thread ID:2,Time:06:47:48.214
Line Number:55,Thread ID:6,Time:06:47:48.221
Line Number:56,Thread ID:5,Time:06:47:48.226
Line Number:57,Thread ID:10,Time:06:47:48.232
Line Number:58,Thread ID:10,Time:06:47:48.238
Line Number:59,Thread ID:10,Time:06:47:48.243
Line Number:60,Thread ID:10,Time:06:47:48.309
Line Number:61,Thread ID:2,Time:06:47:48.252
Line Number:62,Thread ID:4,Time:06:47:48.259
Line Number:63,Thread ID:4,Time:06:47:48.266
Line Number:64,Thread ID:2,Time:06:47:48.271
Line Number:65,Thread ID:6,Time:06:47:48.278
Line Number:66,Thread ID:5,Time:06:47:48.285
Line Number:67,Thread ID:10,Time:06:47:48.291
Line Number:68,Thread ID:10,Time:06:47:48.297
Line Number:69,Thread ID:10,Time:06:47:48.247
Line Number:70,Thread ID:10,Time:06:47:48.319
Line Number:71,Thread ID:2,Time:06:47:48.326
Line Number:72,Thread ID:4,Time:06:47:48.336
Line Number:73,Thread ID:4,Time:06:47:48.344
Line Number:74,Thread ID:4,Time:06:47:48.408
Line Number:75,Thread ID:6,Time:06:47:48.357
Line Number:76,Thread ID:5,Time:06:47:48.368
Line Number:77,Thread ID:5,Time:06:47:48.428
Line Number:78,Thread ID:10,Time:06:47:48.381
Line Number:79,Thread ID:10,Time:06:47:48.438
Line Number:80,Thread ID:10,Time:06:47:48.391
Line Number:81,Thread ID:10,Time:06:47:48.449
Line Number:82,Thread ID:4,Time:06:47:48.402
Line Number:83,Thread ID:2,Time:06:47:48.351
Line Number:84,Thread ID:2,Time:06:47:48.470
Line Number:85,Thread ID:10,Time:06:47:48.375
Line Number:86,Thread ID:5,Time:06:47:48.433
Line Number:87,Thread ID:10,Time:06:47:48.386
Line Number:88,Thread ID:10,Time:06:47:48.444
Line Number:89,Thread ID:2,Time:06:47:48.397
Line Number:90,Thread ID:4,Time:06:47:48.463
Line Number:91,Thread ID:6,Time:06:47:48.421
Line Number:92,Thread ID:2,Time:06:47:48.477
Line Number:93,Thread ID:10,Time:06:47:48.485
Line Number:94,Thread ID:10,Time:06:47:48.504
Line Number:95,Thread ID:2,Time:06:47:48.539
Line Number:96,Thread ID:4,Time:06:47:48.546
Line Number:97,Thread ID:6,Time:06:47:48.553
Line Number:98,Thread ID:10,Time:06:47:48.568
Line Number:99,Thread ID:10,Time:06:47:48.575
Line Number:100,Thread ID:10,Time:06:47:48.615
